Vehicle_ID,Car_Model,Battery_Type,Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Driving_Style,Internal_Resistance_Ohm,SoH_Percent,Battery_Status
1fb46ae8,Tesla Model 3,NMC,75.0,106.0,1958.0,42.3,0.714,2.17, Aggressive ,0.075,38.79,
b7ef35aa,Tesla Model 3,,75.0,29.0,401.0,18.0,0.62,1.34,Aggressive,,94.03,Healthy
76cb49e0,Ford Mustang Mach-E,NMC,88.0,71.0,941.0,18.4,0.78,1.48,,0.01,80.4,Healthy
456a7aef,Ford Mustang Mach-E,NMC,88.0,107.0,1573.0,40.33,0.92,2.36,Moderate,,69.96,Unhealthy
bd758049,Tesla Model 3,NMC,75.0,58.0,239.0,30.3,0.89,1.48,,,90.8,Healthy
d5f95b58,Hyundai Ioniq 5,NMC,72.6,27.0,,20.0,0.35,2.5,Moderate,0.024,92.52,Healthy
b135d980,Hyundai Ioniq 5,,72.6,49.0,734.0,3.2,0.51,0.65,Conservative,0.022,94.86,Healthy
a99c510d,Hyundai Ioniq 5,NMC,72.6,12.0,121.0,27.4,0.29,1.41,Moderate,0.025,81.01,Healthy
9d628060,Ford Mustang Mach-E, NMC ,88.0,78.0,1024.0,47.56,0.981,2.93,Aggressive,0.062,43.61,UNHEALTHY
c06175d3,Wuling Air EV,LFP,26.0,12.0,,,0.59,1.5,Conservative,0.032,88.64, Healthy 
923c6da8,Tesla Model 3,NMC,,115.0,,41.9,0.707,2.44,Moderate,0.118,57.72,Unhealthy
357c23fd,Wuling Air EV,LFP,26.0,51.0,718.0,19.9,0.26,1.34,Moderate,0.014,89.64,Healthy
663f1312,Wuling Air EV,,26.0,89.0,1086.0,35.25,0.925,2.52,Aggressive,0.092,45.25,Unhealthy
ee2a3d36,BYD Atto 3,LFP,60.0,7.0,102.0,,0.52,1.84,Aggressive,0.02,83.04,Healthy
,Ford Mustang Mach-E,NMC,,65.0,1009.0,47.66,0.897,2.63,Aggressive,0.114,46.13,Unhealthy
41e10140,Tesla Model 3,,75.0,81.0,948.0,23.1,,1.93,Moderate,0.028,85.8,Healthy
0d0dd533,Ford Mustang Mach-E,NMC,88.0,33.0,335.0,30.7,0.67,1.12,Moderate,0.021,87.92,Healthy
d17fbc34,,NMC,88.0,82.0,1095.0,46.56,0.8,3.16,,0.113,37.32,Unhealthy
2744e2d3,Hyundai Ioniq 5,NMC,72.6,35.0,143.0,28.6,0.15,2.26,,0.045,,Healthy
8462e303,Wuling Air EV,LFP,26.0,77.0,1667.0,,0.951,2.71,Aggressive,0.055,41.25,
2f0aefbd,Wuling Air EV,,26.0,,1293.0,35.98,0.972,2.23,Aggressive,0.054,,Unhealthy
b83c8e0d,Ford Mustang Mach-E,NMC,88.0,85.0,1188.0,23.5,0.83,1.13,Moderate,0.025,96.73,Healthy
1b172146,Tesla Model 3,NMC,75.0,57.0,660.0,36.3,0.79,1.53,Moderate,0.04,91.31,Healthy
356977bf,Wuling Air EV,LFP,,88.0,1311.0,44.91,0.902,2.62,Moderate,0.084,55.42,Unhealthy
b7747f37,Tesla Model 3,NMC,75.0,84.0,582.0,16.2,0.5,0.69,Aggressive,,87.11,Healthy
4a53bf53,Wuling Air EV,LFP,26.0,19.0,169.0,33.7,,0.5,Moderate,0.039,84.57,Healthy
